apple_label,semi_major_axis,semi_minor_axis,xc,yc,theta,area,perimeter,eccentricity,volume
75d.jpg,442.12,428.72,934.98,1048.59,2.62,595471.62,2735.98,0.24,140
75e.jpg,443.43,407.58,943.56,1058.18,0.28,567786.25,2674.71,0.39,140
75f.jpg,444.61,428.98,902.86,1040.29,0.66,599186.98,2744.67,0.26,140
75g.jpg,445.78,435.69,972.17,1046.23,0.9,610175.3,2769.33,0.21,140
75h.jpg,440.6,412.08,953.19,1035.12,3.12,570389.23,2679.51,0.35,140
75i.jpg,447.53,415.01,932.44,1002.08,2.32,583487.95,2710.72,0.37,140
75j.jpg,452.63,421.49,938.1,1019.95,2.21,599353.06,2747.01,0.36,140
76a.jpg,496.24,458.83,892.09,1092.38,2.58,715316.69,3001.61,0.38,200
76b.jpg,531.47,486.19,869.01,1031.91,2.79,811776.37,3198.66,0.4,200
76c.jpg,519.45,474.48,849.4,1042.16,0.19,774301.19,3124.11,0.41,200
76d.jpg,525.72,502.23,875.76,1048.44,0.45,829477.69,3229.81,0.3,200
76e.jpg,522.66,495.32,974.96,1011.84,0.22,813317.48,3198.67,0.32,200
76f.jpg,534.0,469.8,891.45,1020.57,0.07,788144.12,3156.76,0.48,200
76g.jpg,525.04,494.2,866.8,1033.81,2.8,815171.0,3202.78,0.34,200
76h.jpg,526.36,494.17,981.91,1045.91,2.87,817167.38,3206.89,0.34,200
76i.jpg,493.26,462.83,914.11,1053.21,1.56,717207.22,3004.4,0.35,200
76j.jpg,527.74,486.11,920.65,1024.81,1.81,805932.48,3186.43,0.39,200
77a.jpg,487.25,478.76,862.79,1153.24,2.05,732861.37,3034.88,0.19,190
77b.jpg,496.27,478.3,827.2,1139.82,1.82,745709.76,3061.97,0.27,190
77c.jpg,505.21,472.65,920.82,1141.18,1.63,750178.12,3072.9,0.35,190
77d.jpg,486.48,468.14,916.73,1138.99,1.56,715471.61,2999.31,0.27,190
77e.jpg,513.85,466.66,937.29,1165.58,1.77,753332.63,3082.15,0.42,190
77f.jpg,497.15,474.22,981.68,1187.05,1.62,740657.59,3052.07,0.3,190
77g.jpg,495.5,469.46,947.86,1160.73,0.05,730788.51,3032.06,0.32,190
77h.jpg,513.3,489.63,913.5,1142.47,1.42,789572.59,3151.25,0.3,190
78a.jpg,501.43,460.1,682.73,1142.82,0.19,724790.25,3022.13,0.4,180
78b.jpg,492.1,479.96,770.71,1175.55,0.06,742008.68,3053.94,0.22,180
78c.jpg,488.72,457.17,795.06,1157.44,3.1,701923.12,2972.43,0.35,180
78d.jpg,484.91,471.26,689.63,1143.37,3.11,717906.74,3004.04,0.24,180
78e.jpg,479.94,477.6,821.57,1159.96,0.19,720102.02,3008.18,0.1,180
78f.jpg,491.61,462.61,757.27,1177.39,3.14,714477.24,2998.47,0.34,180
78f.jpg,491.61,462.61,757.27,1177.39,3.14,714477.24,2998.47,0.34,180
78g.jpg,474.65,451.21,918.92,1114.7,2.62,672826.65,2909.14,0.31,180
78h.jpg,489.18,466.62,943.05,1089.12,1.81,717105.46,3003.16,0.3,180
78i.jpg,489.26,467.09,941.63,1090.4,1.82,717951.0,3004.88,0.3,180
79a.jpg,507.68,491.31,1042.55,1327.66,0.06,783592.13,3138.61,0.25,200
79b.jpg,489.72,478.94,948.81,1363.19,2.77,736858.59,3043.25,0.21,200
79c.jpg,514.78,492.29,1010.92,1305.5,0.3,796146.49,3164.2,0.29,200
79d.jpg,506.98,487.81,971.48,1346.92,2.87,776947.41,3125.52,0.27,200
79e.jpg,511.41,482.84,1039.24,1319.76,2.55,775748.26,3124.17,0.33,200
79f.jpg,513.75,492.59,1056.24,1310.09,2.8,795037.12,3161.86,0.28,200
79g.jpg,521.45,487.31,1075.66,1301.21,0.57,798305.05,3170.03,0.36,200
